"valA";"valB";"valC";"valD";"dateA";"dtA";"dtB";"dtC";"dtD";"dtE";"dtF";"dateB";"dtG";"dtH";"dtI";"dtJ";"valE";"valF";"valG";"valH";"valI";"valJ";"valH";"valI";"valJ";"valK";"valL";"valM";"valN";"valO";"calc_DtBmDtA";"calc_DtCmDtB";"calc_DtDmDtC";"calc_DtFmDtD";"calc_DtHmDtG";"calc_DtImDtG";"calc_DtJmDtG";"calc_DtImDtH";"calc_DtJmDtI"
878.3;3173.7;984.8;1391.9;"1980-01-01";"1980-01-01 09:30:00";"1980-01-01 09:58:00";"1980-01-01 11:08:00";"1980-01-01 11:30:00";"1980-01-01 08:30:00";"1980-01-01 13:07:00";"1980-01-08";"1980-01-08 06:40:00";"1980-01-08 07:55:00";"1980-01-08 08:30:00";"1980-01-08 10:44:00";68.0;23.1;3037.8;34.0;1.5;6.7;25.7;6.0;2157.5;72.2;80.0;81.1;31.4;29.3;28;70;22;97;75;110;244;35;134
844.0;2373.7;1115.7;1631.9;"1980-01-02";"1980-01-02 12:06:00";"1980-01-02 12:39:00";"1980-01-02 13:39:00";"1980-01-02 14:00:00";"1980-01-02 08:15:00";"1980-01-02 18:30:00";"1980-01-12";"1980-01-12 06:35:00";"1980-01-12 08:45:00";"1980-01-12 09:38:00";"1980-01-12 13:55:00";67.1;24.1;2241.3;43.3;1.4;6.7;25.7;5.9;1557.5;70.0;80.2;83.6;31.3;29.3;33;60;21;270;130;183;440;53;257
945.8;3323.7;756.1;1071.9;"1980-01-06";"1980-01-06 06:20:00";"1980-01-06 06:53:00";"1980-01-06 07:53:00";"1980-01-06 09:10:00";"1980-01-06 11:40:00";"1980-01-06 18:20:00";"1980-01-13";"1980-01-13 07:20:00";"1980-01-13 08:20:00";"1980-01-13 08:55:00";"1980-01-13 10:55:00";67.9;21.6;3179.3;34.8;1.6;6.7;25.7;6.0;2087.5;71.5;80.3;81.9;32.1;29.3;33;60;77;550;60;95;215;35;120
1038.0;3473.7;1165.9;1691.9;"1980-01-08";"1980-01-08 08:40:00";"1980-01-08 09:10:00";"1980-01-08 10:10:00";"1980-01-08 10:40:00";"1980-01-08 08:50:00";"1980-01-08 14:35:00";"1980-01-15";"1980-01-15 05:25:00";"1980-01-15 06:40:00";"1980-01-15 07:15:00";"1980-01-15 09:45:00";68.1;22.1;3317.5;36.3;1.7;6.7;25.7;6.0;2157.5;70.6;80.2;82.1;32.2;29.3;30;60;30;235;75;110;260;35;150
942.0;3473.7;955.3;1451.9;"1980-01-12";"1980-01-12 12:12:00";"1980-01-12 12:42:00";"1980-01-12 13:42:00";"1980-01-12 14:05:00";"1980-01-12 11:25:00";"1980-01-12 16:35:00";"1980-01-19";"1980-01-19 07:20:00";"1980-01-19 08:55:00";"1980-01-19 09:25:00";"1980-01-19 11:52:00";68.9;23.7;3329.3;33.3;1.6;6.7;25.7;6.0;2157.5;67.2;80.0;81.4;32.0;29.3;30;60;23;150;95;125;272;30;147
826.0;3273.7;1041.5;1475.9;"1980-01-13";"1980-01-13 09:10:00";"1980-01-13 09:40:00";"1980-01-13 10:40:00";"1980-01-13 11:05:00";"1980-01-13 09:30:00";"1980-01-13 15:00:00";"1980-01-20";"1980-01-20 07:20:00";"1980-01-20 08:40:00";"1980-01-20 09:10:00";"1980-01-20 12:02:00";68.4;22.1;3143.6;31.3;1.4;6.7;25.7;6.0;2257.5;72.1;80.5;81.9;32.0;29.3;30;60;25;235;80;110;282;30;172
999.6;3473.7;989.0;1401.9;"1980-01-14";"1980-01-14 09:05:00";"1980-01-14 09:35:00";"1980-01-14 10:35:00";"1980-01-14 11:00:00";"1980-01-14 09:25:00";"1980-01-14 14:42:00";"1980-01-21";"1980-01-21 07:20:00";"1980-01-21 08:40:00";"1980-01-21 09:20:00";"1980-01-21 12:48:00";68.5;24.1;3322.4;35.1;1.7;6.7;25.7;6.0;2357.5;72.0;80.2;80.8;31.8;29.3;30;60;25;222;80;120;328;40;208
977.2;3473.7;990.4;1411.9;"1980-01-15";"1980-01-15 07:45:00";"1980-01-15 08:15:00";"1980-01-15 09:15:00";"1980-01-15 09:50:00";"1980-01-15 09:25:00";"1980-01-15 14:35:00";"1980-01-22";"1980-01-22 07:30:00";"1980-01-22 08:40:00";"1980-01-22 09:10:00";"1980-01-22 12:31:00";68.6;23.2;3325.1;34.4;1.6;6.7;25.7;6.0;2457.5;71.6;80.1;81.4;31.1;29.3;30;60;35;285;70;100;301;30;201
859.0;3273.7;919.2;1311.9;"1980-01-19";"1980-01-19 09:45:00";"1980-01-19 10:10:00";"1980-01-19 11:10:00";"1980-01-19 11:50:00";"1980-01-19 10:35:00";"1980-01-19 14:50:00";"1980-01-26";"1980-01-26 07:32:00";"1980-01-26 09:03:00";"1980-01-26 09:34:00";"1980-01-26 12:51:00";68.1;24.6;3139.8;32.4;1.4;6.7;25.7;6.0;2457.5;71.4;79.3;80.9;30.8;29.3;25;60;40;180;91;122;319;31;197
963.6;3373.7;1038.7;1471.9;"1980-01-20";"1980-01-20 08:20:00";"1980-01-20 08:48:00";"1980-01-20 09:50:00";"1980-01-20 10:10:00";"1980-01-20 09:27:00";"1980-01-20 14:20:00";"1980-01-27";"1980-01-27 07:26:00";"1980-01-27 08:28:00";"1980-01-27 09:00:00";"1980-01-27 12:33:00";68.6;23.9;3227.0;34.9;1.6;6.7;25.7;6.0;2357.5;72.1;79.5;81.4;31.0;29.3;28;62;20;250;62;94;307;32;213
